id,team_name,fifa_code,group_letter,place
1,Mexico,MEX,A,
2,South Africa,RSA,A,
3,South Korea,KOR,A,
4,Czechia,CZE,A,
5,Canada,CAN,B,
6,Qatar,QAT,B,
7,Switzerland,SUI,B,
8,Bosnia and Herzegovina,BIH,B,
9,Brazil,BRA,C,
10,Morocco,MAR,C,
11,Haiti,HAI,C,
12,Scotland,SCO,C,
13,USA,USA,D,
14,Paraguay,PAR,D,
15,Australia,AUS,D,
16,Türkiye,TUR,D,
17,Germany,GER,E,
18,Curaçao,CUR,E,
19,Ivory Coast,CIV,E,
20,Ecuador,ECU,E,
21,Netherlands,NED,F,
22,Japan,JPN,F,
23,Tunisia,TUN,F,
24,Sweden,SWE,F,
25,Belgium,BEL,G,
26,Egypt,EGY,G,
27,Iran,IRN,G,
28,New Zealand,NZL,G,
29,Spain,ESP,H,
30,Cape Verde,CPV,H,
31,Saudi Arabia,KSA,H,
32,Uruguay,URU,H,
33,France,FRA,I,
34,Iraq,IRQ,I,
35,Senegal,SEN,I,
36,Norway,NOR,I,
37,Argentina,ARG,J,
38,Algeria,ALG,J,
39,Austria,AUT,J,
40,Jordan,JOR,J,
41,DR Congo,COD,K,
42,Portugal,POR,K,
43,Uzbekistan,UZB,K,
44,Colombia,COL,K,
45,England,ENG,L,
46,Croatia,CRO,L,
47,Ghana,GHA,L,
48,Panama,PAN,L,

# This file contains the list of teams participating in the FIFA World Cup 2026, along with their FIFA codes, group letters, and places. 
# The data is organized in a tabular format with columns for team ID, team name, FIFA code, group letter, and place.
# place means their position in the group, which will be calculated after group stage matches.
